id,dir,start_commit,end_commit,num_commits,patch,config,klocalizer_succeeded,klocalizer_log,build_log,build_succeeded,qemu_succeeded,qemu_log
0,/home/ubuntu/KConfLLMRepair/workspace/samples/sample_0,124068a6773d418c9c42e82253bacd396f4b3487,f417b7ffcbef7d76b0d8860518f50dae0e7e5eda,3,/home/ubuntu/KConfLLMRepair/workspace/samples/sample_0/changes.patch,/home/ubuntu/KConfLLMRepair/workspace/samples/sample_0/klocalizer.config,True,/home/ubuntu/KConfLLMRepair/workspace/samples/sample_0/klocalizer.log,/home/ubuntu/KConfLLMRepair/workspace/samples/sample_0/build.log,True,False,/home/ubuntu/KConfLLMRepair/workspace/samples/sample_0/qemu.log
1,/home/ubuntu/KConfLLMRepair/workspace/samples/sample_1,4fc7d3a3bb77db563d3e93e31342f8780ad26ca9,124068a6773d418c9c42e82253bacd396f4b3487,3,/home/ubuntu/KConfLLMRepair/workspace/samples/sample_1/changes.patch,/home/ubuntu/KConfLLMRepair/workspace/samples/sample_1/klocalizer.config,True,/home/ubuntu/KConfLLMRepair/workspace/samples/sample_1/klocalizer.log,/home/ubuntu/KConfLLMRepair/workspace/samples/sample_1/build.log,True,False,/home/ubuntu/KConfLLMRepair/workspace/samples/sample_1/qemu.log
2,/home/ubuntu/KConfLLMRepair/workspace/samples/sample_2,17055167c5a524905148997176ce035ff5584f9f,4fc7d3a3bb77db563d3e93e31342f8780ad26ca9,3,/home/ubuntu/KConfLLMRepair/workspace/samples/sample_2/changes.patch,/home/ubuntu/KConfLLMRepair/workspace/samples/sample_2/klocalizer.config,True,/home/ubuntu/KConfLLMRepair/workspace/samples/sample_2/klocalizer.log,/home/ubuntu/KConfLLMRepair/workspace/samples/sample_2/build.log,True,False,/home/ubuntu/KConfLLMRepair/workspace/samples/sample_2/qemu.log
